842,28
892,45
942,44
992,35
1042,37
1092,29
1142,39
1192,38
1242,38
1292,37
1342,32
1392,28
1442,35
1492,30
1542,32
1592,34
1642,31
1692,29
1742,30
1792,31
1842,28
1892,32
1942,38
1992,36
2042,26
2092,39
2142,40
2192,45
2242,44
2292,29
2342,29
2392,30
2442,36
2492,32
2542,37
2592,33
2642,34
2692,35
2742,39
2792,40
2842,44
2892,43
2942,38
2992,30
3042,34
3092,34
3142,36
3192,37
3242,28
3292,29
3342,27
3392,38
3442,42
3492,43
3542,36
3592,33
3642,33
3692,32
3742,23
3792,31
3842,25
3892,34
3942,29
3992,26
4042,30
4092,33
4142,31
4192,34
4242,26
4292,29
4342,31
4392,34
4442,32
4492,26
4542,29
4592,43
4642,33
4692,37
4742,37
4792,30
4842,31
4892,34
4942,33
4992,33
5042,31
5092,36
5142,25
5192,37
5242,26
5292,30
5342,27
5392,34
5442,38
5492,37
5542,36
5592,44
5642,45
5692,46
5742,25
5792,25
5842,28
5892,27
5942,26
5992,34
6042,35
6092,42
6142,43
6192,35
6242,29
6292,44
6342,33
6392,32
6442,31
6492,29
6542,22
6592,27
6642,29
6692,31
6742,30
6792,33
6842,34
6892,43
6942,42
6992,34
7042,38
7092,39
7142,27
7192,28
7242,32
7292,27
7342,33
7392,34
7442,38
7492,39
7542,26
7592,28
7642,40
7692,39
7742,34
7792,35
7842,25
7892,35
7942,27
7992,34
8042,28
8092,24
8142,31
8192,29
8242,32
8292,23
8342,26
8392,27
8442,22
8492,23
8542,31
8592,32
8642,24
8692,35
8742,33
8792,26
8842,38
8892,37
8942,28
8992,25
9042,32
9092,27
9142,34
9192,37
9242,38
9292,33
9342,34
9392,19
9442,30
9492,31
9542,40
9592,39
9642,33
9692,32
9742,23
9792,27
9842,30
9892,28
9942,31
9992,39
10042,38
10092,30
10142,51
10192,31
10242,50
10292,37
10342,40
10392,39
10442,37
10492,35
10542,32
10592,35
10642,36
10692,29
10742,33
10792,30
10842,34
10892,32
10942,29
10992,27
11042,38
11092,39
11142,36
11192,35
11242,33
11292,30
11342,34
11392,37
11442,38
11492,36
11542,30
11592,31
11642,32
11692,26
11742,28
11792,29
11842,34
11892,35
11942,37
11992,24
12042,25
12092,25
12142,38
12192,31
12242,39
12292,40
12342,32
12392,30
12442,34
12492,37
12542,34
12592,28
12642,38
12692,31
12742,45
12792,44
12842,28
12892,37
12942,30
12992,31
13042,25
13092,38
13142,39
13192,40
13242,38
13292,35
13342,34
13392,27
13442,30
13492,33
13542,31
13592,34
13642,34
13692,31
13742,30
13792,32
13842,33
13892,37
13942,38
13992,31
14042,35
14092,32
14142,33
14192,28
14242,34
14292,35
14342,30
14392,48
14442,40
14492,31
14542,41
14592,32
14642,34
14692,36
14742,35
14792,41
14842,32
14892,36
14942,38
14992,37
15042,39
15092,38
15142,31
15192,38
15242,32
15292,31
15342,30
15392,27
15442,28
15492,29
15542,37
15592,38
15642,30
15692,29
15742,31
15792,32
15842,33
15892,28
15942,32
15992,34
16042,43
16092,42
16142,38
16192,38
16242,29
16292,30
16342,33
16392,31
16442,34
16492,37
16542,36
16592,34
16642,31
16692,32
16742,33
16792,31
16842,27
16892,22
16942,28
16992,27
17042,29
17092,34
17142,33
17192,29
17242,32
17292,31
17342,25
17392,25
17442,27
17492,26
17542,33
17592,31
17642,32
17692,29
17742,39
17792,28
17842,40
17892,43
17942,44
17992,28
18042,31
18092,40
18142,33
18192,32
18242,34
18292,35
18342,36
18392,28
18442,32
18492,30
18542,31
18592,28
18642,34
18692,27
18742,38
18792,37
18842,26
18892,33
18942,29
18992,31
19042,35
19092,36
19142,34
19192,38
19242,37
19292,35
19342,32
19392,32
19442,27
19492,29
19542,28
19592,31
19642,27
19692,32
19742,32
19792,31
19842,38
19892,30
19942,37
19992,32
20042,29
20092,34
20142,35
20192,31
20242,30
20292,27
20342,28
20392,32
20442,35
20492,34
20542,31
20592,26
20642,33
20692,32
20742,35
20792,36
20842,33
20892,32
20942,40
20992,39
21042,36
21092,35
21142,31
21192,33
21242,34
21292,28
21342,29
21392,30
21442,27
21492,26
21542,28
21592,32
21642,30
21692,26
21742,31
21792,29
21842,34
21892,35
21942,30
21992,32
22042,31
22092,36
22142,29
22192,33
22242,28
22292,34
22342,29
22392,32
22442,30
22492,33
22542,36
22592,34
22642,42
22692,43
22742,39
22792,35
22842,39
22892,29
22942,21
22992,33
23042,29
23092,30
23142,30
23192,33
23242,30
23292,32
23342,34
23392,27
23442,28
23492,29
23542,26
23592,50
23642,34
23692,31
23742,30
23792,30
23842,21
23892,24
23942,29
23992,25
24042,28
24092,26
24142,27
24192,29
24242,30
24292,32
24342,27
24392,28
24442,34
24492,33
24542,35
24592,36
24642,30
24692,44
24742,31
24792,28
24842,27
24892,29
24942,27
24992,33
25042,30
25092,36
25142,35
25192,34
25242,29
25292,30
25342,33
25392,34
25442,28
25492,36
25542,35
25592,29
25642,34
25692,30
25742,41
25792,42
25842,35
